DISTRICT,STATE,COMPANY NAME,ASSETS (MILLIONS),LIABILITIES (MILLIONS)
D,NV,"Ad Systems Communications, Inc.",405,4
D,NV,Alphatrade.com,686,4
SD,NY,AMBAC Financial Group,395,"1,683"
D,DE,"Ambassdors International , Inc.",86.44,87.32
D,NV,American Pacific Financial Corporation,19.18,161.08
ED,WA,AmericanWest Bancorporation,"1,536.18","1,537.97"
D,DE,Angiotech Pharmaceuticals,326.01,622.00
D,TX,"Best Energy Services, Inc. et al.",20.72,30.58
SD,NY,Blockbuster Inc.,"1,017.04","1,464.94"
SD,NY,Borders Group Inc.,"1,275.43","1,293.11"
SD,CA,"Bridgetech Holdings International, Inc.",                                    --,7
ND,CA ,"Cardima, Inc.",650.76,1.02
ND,GA,CDC Corporation,377.38,250.18
ED,VA,"Commonwealth Biotechnologies, Inc.",9.80,4.90
CD,CA,Composite Technology Corporation,5.86,12.40
D,DE,"Constar International, Inc.",418,414
SD,NY,Credit Based Asset Serviceing and Securitization LLC,10.00,170.00
D,NV,"Desert Capital REIT, Inc.",19.84,40.22
CD,CA,"DigitalPost Interactive, Inc.",310.77,2.35
D,DE,"Evergreen Solar, Inc.",424,486
ND,GA,Gagle's Inc.,92,63
MD,DFL,"Geopharma, Inc.",37,34
SD,NY,"GSC Group, Inc.",119.79,313.56
SD,FL,"Gulfstream International Group, Inc.",13.60,26.00
D,DE,"Harry & David Holdings, Inc.",304.00,361.00
SD,FL,"HearUSA, Inc.",66,65
D,KS,"ICOP Digital, Inc.",6.70,4.36
SD,NY,"Iron Mining Group, Inc.",1.75,6.26
D,DE,Jackson Hewitt Tax Service Inc.,388.00,444.00
ND,CA,"Java Detour, Inc.",                                    --,3
D,DE,JAVO Beverage Company Inc.,14.66,26.71
WD,KY,"Kentucky USA Energy, Inc. et al.",9.76,10.19
ED,NC,Law Enforcement Associates Corporation,                                   --,2
D,DE,"Local Insight Media Holdings, Inc., Caribe Media",500.00,558.00
D,MA,LocatePLUS Holdings Corp.,2.08,10.47
SD,NY,Majestic Capital Ltd,436.19,421.76
SD,NY,MF Global Holdings LTD,"41,000.00","39,700.00"
ED,MA,"Molecular Insight Pharmaceuticals, Inc.",36.45,198.83
SD,TX,"Omega Navigation Enterprises, Inc. et al.",527,360
D,DE,"Plam Harbor Homes,Inc.",321.26,280.34
CD,CA,"Public Media Works, Inc.",873.25,1.14
D,NE,"QA3 Financial, Corp.",2.08,2.07
D,DE,"Raser Technologies, Inc.",41.84,107.78
D,NJ,RCLC Inc.,16.37,10.37
D,DE,Regen Biologics Inc.,1.50,5.21
ND,TX,"ReoStar Energy Corp., et al.",21.03,15.54
SD,NY,"RHI Entertainment, Inc.",524.72,834.09
D,NV,Riviera Holdings Corporation,12.45,270.00
D,DE,Sand Spring Capital,                                   --,                                        --
SD,TX,"Seahawk Drilling, Inc. et al.",505,124
D,NV,"Shegda Tech, Inc.",295.43,180.86
D,DE,Solyndra LLC,859.00,749.00
D,AZ,"Star Buffett, Inc.",1.06,12.17
MD,FL,"Tel Tronics, Inc.",10.25,19.14
ED,NY,Tetragenex Pharmaceuticals Inc.,133.03,3.75
SD,NY,"The Great Atlantic & Pacific Tea Company, Inc.","2,531.03","3,210.97"
SD,CA,"Transdel Pharmaceuticals, Inc.",2,2
D,DE,"Trico Marine Services, Inc.",31,354
D,DE,Vaso Active Pharmaceuticals,645.00,10.19
D,NJ,Visual Management Systems,273.00,12.25
D,DE,"Waste2Energy Holdings, Inc.",6.00,17.00
D,DE,Wolverine Tube Inc.,116,238
,,,,
,,,,
,,,,
,,,,
,,,,
