DISTRICT,STATE,COMPANY_NAME,ASSETS,LIABILITIES
ED,TX,TWL Corporation,14.3,37.6
WD,TX,"TXCO Resources, Inc., et al.",431.9,322.8
ND,TX,TXP Corporation,3.6,16.8
SD,NY,U.S. Shipping Partners L.P.,717.4,606.5
D,DE,Velocity Express Corp.,94.1,120.6
D,DE,Vermillion Inc.,7.2,32
D,DE,Versun Energy Corp.,3453,1913.2
CD,CA,Vineyard National Bancorp,2098.7,449.7
ND,GA,"Vubotics, Inc.",0.02,3.6
D,DE,Washington Mutual Inc.,32896.6,8167
D,DE,"WCI Communications, Inc.",2178.2,1915
D,DE,Worldspace Inc.,0.3,2.1
ND,IL,"Xechem International, Inc.",3.9,11.1
